eta, gamma, epsilon, mds, mys, mss, mean, 50_perc, 80_perc, max, death_mode, 30_mean, 30_50_perc, 30_80_perc, 30_max, 30_death_mode, 30_low_mean, 30_low_50_perc, 30_low_80_perc, 30_low_max, 30_low_death_mode, 30_high_mean, 30_high_50_perc, 30_high_80_perc, 30_high_max, 30_high_death_mode
1,1,0.9,30,35,1,0.51,0.0,1.0,4.0,tree_top,0.557142857143,0.0,1.0,4.0,tree_top,0.432432432432,0.0,1.0,2.0,tree_top,0.69696969697,0.0,1.0,4.0,tree_bot
1,1,0.9,30,35,2,0.58,0.0,1.0,6.0,tree_top,0.657142857143,0.0,1.0,6.0,tree_top,0.540540540541,0.0,1.0,3.0,tree_top,0.787878787879,0.0,1.0,6.0,tree_bot
1,1,0.9,30,35,3,0.62,0.0,1.0,5.0,tree_top,0.771428571429,0.0,1.2,5.0,tree_top,0.411764705882,0.0,1.0,3.0,tree_top,1.11111111111,1.0,2.0,5.0,off_bot
1,1,0.9,30,25,1,0.55,0.0,1.0,5.0,tree_top,0.657142857143,0.0,1.0,5.0,tree_top,0.515151515152,0.0,1.0,2.0,tree_top,0.783783783784,0.0,1.0,5.0,off_bot
1,1,0.9,30,25,2,0.58,0.0,1.0,5.0,tree_top,0.7,0.0,1.0,5.0,tree_top,0.571428571429,1.0,1.0,2.0,tree_top,0.828571428571,0.0,1.2,5.0,tree_bot
1,1,0.9,30,25,3,0.74,0.0,1.0,7.0,tree_top,0.8,0.5,1.0,7.0,tree_top,0.645161290323,1.0,1.0,2.0,tree_top,0.923076923077,0.0,1.0,7.0,tree_bot
1,1,0.9,30,15,1,0.38,0.0,1.0,2.0,tree_top,0.471428571429,0.0,1.0,2.0,tree_top,0.418604651163,0.0,1.0,2.0,tree_top,0.555555555556,0.0,1.0,2.0,off_bot
1,1,0.9,30,15,2,0.38,0.0,1.0,3.0,tree_top,0.385714285714,0.0,1.0,2.0,tree_top,0.264705882353,0.0,1.0,1.0,tree_top,0.5,0.0,1.0,2.0,tree_bot
1,1,0.9,30,15,3,0.46,0.0,1.0,4.0,tree_top,0.514285714286,0.0,1.0,4.0,tree_top,0.392857142857,0.0,1.0,2.0,tree_top,0.595238095238,0.0,1.0,4.0,tree_bot
1,1,0.9,30,10,1,0.45,0.0,1.0,3.0,tree_top,0.4,0.0,1.0,2.0,tree_top,0.51724137931,0.0,1.0,2.0,tree_top,0.317073170732,0.0,1.0,2.0,tree_bot
1,1,0.9,30,10,2,0.44,0.0,1.0,2.0,tree_top,0.414285714286,0.0,1.0,2.0,tree_top,0.342105263158,0.0,1.0,1.0,tree_top,0.5,0.0,1.0,2.0,tree_bot
1,1,0.9,30,10,3,0.54,0.0,1.0,5.0,tree_top,0.557142857143,0.0,1.0,4.0,tree_top,0.625,0.0,1.0,4.0,tree_top,0.5,0.0,1.0,3.0,off_bot
1,1,0.5,60,35,1,0.91,1.0,1.0,5.0,tree_top,1.12857142857,1.0,2.0,5.0,tree_top,0.59375,1.0,1.0,2.0,tree_top,1.57894736842,1.0,3.0,5.0,tree_bot
1,1,0.5,60,35,2,0.82,1.0,1.0,4.0,tree_top,0.942857142857,1.0,1.0,4.0,tree_top,0.6,1.0,1.0,2.0,tree_top,1.2,1.0,3.0,4.0,tree_bot
1,1,0.5,60,35,3,0.73,0.0,1.0,6.0,tree_top,0.9,0.0,1.0,6.0,tree_top,0.516129032258,0.0,1.0,2.0,tree_top,1.20512820513,1.0,2.4,6.0,tree_bot
1,1,0.5,60,25,1,0.6,0.0,1.0,4.0,tree_top,0.728571428571,1.0,1.0,4.0,tree_top,0.567567567568,0.0,1.0,3.0,tree_top,0.909090909091,1.0,1.6,4.0,tree_bot
1,1,0.5,60,25,2,0.72,0.0,1.0,7.0,tree_top,0.871428571429,0.5,1.0,7.0,tree_top,0.472222222222,0.0,1.0,2.0,tree_top,1.29411764706,1.0,2.0,7.0,tree_bot
