eta, gamma, epsilon, mds, mys, mss, thresh, mean, 50_perc, 80_perc, max, death_mode, 30_mean, 30_50_perc, 30_80_perc, 30_max, 30_death_mode, 30_low_mean, 30_low_50_perc, 30_low_80_perc, 30_low_max, 30_low_death_mode, 30_high_mean, 30_high_50_perc, 30_high_80_perc, 30_high_max, 30_high_death_mode
0.1,1,0.225,119,36,56,0.001,193.88,3.0,345.2,1360.0,tree_top,178.671428571,3.0,297.4,1202.0,tree_top,1.125,1.0,2.0,4.0,tree_top,415.4,271.0,576.0,1202.0,tree_top
0.1,1,0.225,119,36,56,0.001,33.48,2.0,50.2,516.0,tree_top,47.4428571429,2.0,82.2,516.0,tree_top,1.38461538462,1.0,2.0,4.0,tree_top,105.387096774,66.0,186.0,516.0,tree_top
0.1,1,0.225,119,36,56,0.001,34.01,2.0,28.4,497.0,tree_top,47.6142857143,2.0,67.6,497.0,tree_top,1.0,1.0,2.0,3.0,tree_top,99.8787878788,44.0,160.6,497.0,tree_top
0.1,1,0.225,119,36,56,0.001,65.1,1.5,106.8,719.0,tree_top,92.6142857143,2.5,161.0,719.0,tree_top,1.37142857143,1.0,2.0,4.0,tree_top,183.857142857,142.0,287.4,719.0,tree_bot
0.1,1,0.225,119,36,56,0.001,113.2,2.0,155.6,1234.0,tree_top,161.3,12.5,315.2,1234.0,tree_top,1.12121212121,1.0,2.0,3.0,tree_top,304.162162162,180.0,467.4,1234.0,tree_top
0.1,1,0.225,119,36,56,0.001,183.75,5.0,288.8,1615.0,tree_top,171.557142857,4.5,225.6,1615.0,tree_top,1.51351351351,1.0,2.0,6.0,tree_top,362.212121212,172.0,528.0,1615.0,tree_top
0.1,1,0.225,119,36,56,0.001,17.62,1.0,11.2,283.0,tree_top,24.8428571429,2.0,26.0,283.0,tree_top,1.125,1.0,2.0,4.0,tree_top,44.8157894737,12.5,83.2,283.0,tree_top
0.1,1,0.225,119,36,56,0.001,44.61,1.0,21.0,718.0,tree_top,63.2571428571,2.0,113.8,718.0,tree_top,1.2380952381,1.0,2.0,6.0,tree_top,156.285714286,115.0,255.8,718.0,tree_top
0.1,1,0.225,119,36,56,0.001,95.81,1.5,146.0,2106.0,tree_top,136.328571429,3.5,222.4,2106.0,tree_top,1.13513513514,1.0,2.0,4.0,tree_top,287.909090909,205.0,412.6,2106.0,tree_top
0.1,1,0.225,119,36,56,0.001,62.46,1.0,26.4,994.0,tree_top,88.7,2.0,128.6,994.0,tree_top,1.05882352941,1.0,1.4,6.0,tree_top,171.472222222,56.0,247.0,994.0,tree_top
0.1,1,0.225,119,36,56,0.001,18.79,1.0,6.0,428.0,tree_top,26.4285714286,2.0,11.0,428.0,tree_top,1.41463414634,1.0,2.0,6.0,tree_top,61.7931034483,11.0,90.4,428.0,tree_top
0.1,1,0.225,119,36,56,0.001,32.02,2.0,35.2,479.0,tree_bot,45.4142857143,5.5,54.0,479.0,tree_bot,1.25925925926,1.0,2.0,4.0,tree_top,73.1395348837,32.0,105.4,479.0,tree_bot
0.1,1,0.225,119,36,56,0.001,14.43,2.0,19.2,202.0,tree_top,20.2142857143,4.0,23.4,202.0,tree_top,2.05405405405,1.0,3.0,5.0,tree_top,40.5757575758,21.0,45.0,202.0,tree_bot
