,Gravity,Score,Death
466,1.0,6.0,tree_bot
467,1.0,22.0,off_bot
468,1.0,8.0,tree_top
469,1.0,66.0,tree_top
470,1.0,9.0,tree_top
471,1.0,32.0,tree_top
472,1.0,121.0,tree_bot
473,1.0,5.0,off_bot
474,1.0,36.0,off_bot
475,1.0,69.0,off_bot
476,1.0,41.0,off_bot
477,1.0,2.0,tree_top
478,1.0,204.0,tree_bot
479,1.0,20.0,off_bot
480,1.0,28.0,tree_top
481,1.0,86.0,tree_bot
482,0.0,43.0,tree_bot
483,1.0,35.0,off_bot
484,1.0,40.0,off_bot
485,1.0,9.0,tree_bot
486,0.0,35.0,tree_top
487,1.0,16.0,tree_top
488,1.0,11.0,off_bot
489,1.0,7.0,tree_bot
490,1.0,82.0,tree_top
491,1.0,9.0,tree_bot
492,1.0,8.0,tree_top
493,1.0,80.0,off_bot
494,1.0,38.0,off_bot
495,0.0,113.0,tree_top
496,1.0,76.0,off_bot
497,1.0,32.0,off_bot
498,1.0,60.0,off_bot
499,1.0,1.0,off_bot
