eta, gamma, epsilon, mds, mys, mss, thresh, mean, 50_perc, 80_perc, max, death_mode, 30_mean, 30_50_perc, 30_80_perc, 30_max, 30_death_mode, 30_low_mean, 30_low_50_perc, 30_low_80_perc, 30_low_max, 30_low_death_mode, 30_high_mean, 30_high_50_perc, 30_high_80_perc, 30_high_max, 30_high_death_mode
0.1,1,0.3,119,36,56,0.001,32.11,1.0,5.6,638.0,tree_top,45.5142857143,2.0,18.8,638.0,tree_top,1.52173913043,1.0,2.0,5.0,tree_top,129.833333333,78.5,244.6,638.0,tree_top
0.1,1,0.275,119,36,56,0.001,42.92,2.0,72.2,566.0,tree_bot,60.7857142857,9.5,104.2,566.0,tree_bot,1.57575757576,1.0,2.0,6.0,tree_top,113.594594595,74.0,201.0,566.0,tree_bot
0.1,1,0.25,119,36,56,0.001,76.51,2.0,105.6,983.0,tree_top,108.814285714,4.5,211.6,983.0,tree_top,1.57142857143,1.0,2.0,5.0,tree_top,180.30952381,99.0,275.8,983.0,tree_top
0.1,1,0.225,119,36,56,0.001,126.46,3.0,273.0,1128.0,tree_top,143.457142857,3.0,335.6,1128.0,tree_top,0.911764705882,1.0,1.0,3.0,tree_top,278.083333333,216.5,448.0,1128.0,tree_bot
0.1,1,0.2,119,36,56,0.001,98.45,2.0,113.6,1455.0,tree_top,140.071428571,2.0,187.8,1455.0,tree_top,1.27272727273,1.0,2.0,5.0,tree_top,263.864864865,152.0,317.8,1455.0,tree_top
0.1,1,0.3,119,36,56,0.001,35.23,1.0,24.2,548.0,tree_top,49.9,2.5,52.2,548.0,tree_top,1.86486486486,1.0,2.0,8.0,tree_top,103.757575758,50.0,202.6,548.0,tree_top
0.1,1,0.275,119,36,56,0.001,213.21,5.5,426.4,1684.0,tree_top,236.142857143,32.0,454.4,1684.0,tree_top,1.2,1.0,2.0,5.0,tree_top,412.35,317.0,597.8,1684.0,tree_top
0.1,1,0.25,119,36,56,0.001,114.83,2.5,175.4,1151.0,tree_top,163.271428571,53.0,306.0,1151.0,tree_top,1.625,1.0,2.8,6.0,tree_top,299.394736842,185.5,441.4,1151.0,tree_top
0.1,1,0.225,119,36,56,0.001,221.5,30.5,372.6,1767.0,tree_top,213.557142857,5.0,372.6,1749.0,tree_top,1.30303030303,1.0,2.0,5.0,tree_top,402.864864865,298.0,547.4,1749.0,tree_top
0.1,1,0.2,119,36,56,0.001,94.73,2.5,151.2,921.0,tree_top,134.885714286,18.0,284.0,921.0,tree_top,1.35714285714,1.0,2.6,4.0,tree_top,223.904761905,148.5,383.6,921.0,tree_top
